song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
All To Myself,2019-06-15,Dan + Shay,75,83,75,5,e8d126c1-d46c-438c-be92-ed3406e91d24
Big Ole Freak,2019-06-15,Megan Thee Stallion,77,71,65,9,79dc9803-30cc-4aa8-b424-ee9d7ea43eac
On My Way To You,2019-06-15,Cody Johnson,78,86,78,15,c9420dc8-1d90-444a-9caf-9e07863fdf62
Some Of It,2019-06-15,Eric Church,80,76,76,2,c00e7de7-3634-4615-ba09-72814b3870f8
Talk You Out Of It,2019-06-15,Florida Georgia Line,81,78,77,16,0051dafd-d42c-4809-9769-e65470ab3690
Shotta Flow,2019-06-15,NLE Choppa,82,84,81,7,286c68bb-66a8-4b8b-b850-1a3c72762af7
Ocean Eyes,2019-06-15,Billie Eilish,86,92,84,15,15dafb91-e02e-4feb-b183-f5b547cff2f6
Robbery,2019-06-15,Juice WRLD,87,87,27,16,f13e6235-1579-452c-ba1e-f4d365abc7f1
Rearview Town,2019-06-15,Jason Aldean,88,97,88,2,c674c4a2-aab4-401b-b763-225b55485908
Under Enemy Arms,2019-06-15,Trippie Redd,94,,94,1,20fbd7cc-5680-4da2-9db0-f79bf97421f7
Te Robare,2019-06-15,Nicky Jam X Ozuna,96,95,95,4,285cb076-2586-4cf9-8167-9e52ee855548
Raised On Country,2019-06-15,Chris Young,97,,97,1,f302bbab-713d-4a98-81a5-c98ac879789d
Bacc At It Again,2019-06-15,"Yella Beezy, Gucci Mane & Quavo",98,94,94,2,17647ef4-1e00-4920-9276-d2f1dce9e4f6
Trampoline,2019-06-15,SHAED,99,,99,1,ce26aba2-f0bf-453e-a15a-5278ade478e8
Night Shift,2019-06-15,Jon Pardi,100,88,56,16,9fb54cc1-10b2-46ac-8951-c43e46c3e122
Bad Guy,2019-06-22,Billie Eilish,2,2,2,11,5fa39768-3e67-4e0d-a63a-29e022d2d00c
Talk,2019-06-22,Khalid,3,3,3,18,31dc0c27-2927-48a6-b622-823c15f824b4
Sucker,2019-06-22,Jonas Brothers,4,5,1,15,a9b16d1e-3e23-452c-b7f3-e879cf6cbdd3
I Don't Care,2019-06-22,Ed Sheeran & Justin Bieber,5,4,2,5,09fe14ca-7734-4fa0-9365-8159d236d7af
Wow.,2019-06-22,Post Malone,6,6,2,25,a6d85260-c6fa-4099-9884-92a4f86f636c
Sunflower (Spider-Man: Into The Spider-Verse),2019-06-22,Post Malone & Swae Lee,7,7,1,34,74ce027a-e5a1-47f4-8997-68d89febca3f
Suge,2019-06-22,DaBaby,8,8,8,11,c2f85f3b-7e61-4495-be2f-c853bb26c915
ME!,2019-06-22,Taylor Swift Featuring Brendon Urie,14,11,2,8,26359b00-81fa-4f04-bcb5-d1f3955e72e7
Without Me,2019-06-22,Halsey,15,12,1,36,6333397f-2ecb-43d0-927c-adbc36c1bede
7 Rings,2019-06-22,Ariana Grande,16,13,1,21,fc8a804f-7c62-4e99-b614-1f7eb75a9482
Truth Hurts,2019-06-22,Lizzo,17,21,17,6,1e88ada8-7fea-49d0-9e21-0413485fc694
Happier,2019-06-22,Marshmello & Bastille,18,18,2,43,56fd881e-ee97-4b56-a3d9-bf4b177fd619
God's Country,2019-06-22,Blake Shelton,19,19,19,11,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
Whiskey Glasses,2019-06-22,Morgan Wallen,20,20,17,15,fac61a09-4c85-4583-8786-ad7c41b00c48
High Hopes,2019-06-22,Panic! At The Disco,21,23,4,45,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
Beer Never Broke My Heart,2019-06-22,Luke Combs,22,38,22,6,51899a1a-8d48-4adb-a43a-1deef603de1a
The London,2019-06-22,"Young Thug, J. Cole & Travis Scott",24,17,12,3,94853b83-5992-4744-a87b-d949b31cf775
Middle Child,2019-06-22,J. Cole,25,25,4,21,3f6861eb-7173-43e3-bd3b-242ab94fcde2
Act Up,2019-06-22,City Girls,26,28,26,15,7d2ef547-9835-484f-9143-a9afbe54a5b9
Eastside,2019-06-22,"benny blanco, Halsey & Khalid",27,26,9,48,787087cb-cb94-442d-98dd-2eddc59f1f84
Never Really Over,2019-06-22,Katy Perry,28,15,15,2,b6fe3b81-8eb9-48b9-8e2f-12ae87cb97c4
Shallow,2019-06-22,Lady Gaga & Bradley Cooper,34,43,1,37,31efbe4d-0e4c-47a4-9a77-a7e5ad0588f4
Better,2019-06-22,Khalid,35,34,8,39,5ef726de-68d8-4f74-806c-50d75d105bdb
Rumor,2019-06-22,Lee Brice,36,37,36,14,8d9c5da7-09a9-4b76-b6d9-23b314399416
"Break Up With Your Girlfriend, I'm Bored",2019-06-22,Ariana Grande,37,31,2,18,c34e6463-b344-4c74-a090-ebe1de89398b
Sicko Mode,2019-06-22,Travis Scott,38,35,1,45,b7326a80-8332-4ee0-8238-d6737efba347
Look What God Gave Her,2019-06-22,Thomas Rhett,39,32,32,15,b64ec516-e4ba-4a4f-9861-a6425ac20849
Look Back At It,2019-06-22,A Boogie Wit da Hoodie,40,33,27,27,c8374c1a-8c6f-4f45-9b4e-59187679b983
Envy Me,2019-06-22,Calboy,41,40,31,26,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d
When The Party's Over,2019-06-22,Billie Eilish,42,44,29,31,ba7a88da-f864-4ead-9a63-36f92d10de46
Nightmare,2019-06-22,Halsey,43,36,15,4,35f9deaf-115c-4336-9971-5cee7563cf27
Cool,2019-06-22,Jonas Brothers,44,59,27,10,4fda2886-a689-4218-943f-568520bc1caa
Beautiful Crazy,2019-06-22,Luke Combs,45,45,21,31,3b1894a2-7988-48fa-91d4-ae036272ef38
Good As You,2019-06-22,Kane Brown,46,41,36,16,4b621228-2e91-4203-809b-16c02cd9be4d
Press,2019-06-22,Cardi B,47,16,16,2,3c1051d7-e8e0-4ec1-9fd4-ecb2495b0d89
Close Friends,2019-06-22,Lil Baby,48,49,28,33,d3290ee1-9e64-4f0d-a9f7-97ef42b9708a
Worth It,2019-06-22,YK Osiris,54,56,52,17,317ccbf3-e84b-40c0-a85d-1bc992dbc984
Someone You Loved,2019-06-22,Lewis Capaldi,55,58,55,5,8fec020a-8282-4c6e-8a67-d0ec86f60911
Miss Me More,2019-06-22,Kelsea Ballerini,56,47,47,19,e386e906-803b-4477-9e7c-d41a83e8c8c9
Walk Me Home,2019-06-22,P!nk,57,52,49,15,0fce262b-e642-4444-b709-cde62dc680b3
Bury A Friend,2019-06-22,Billie Eilish,58,53,14,20,82d33fb0-6ce8-4e5b-b89d-f61d3692529c
GIRL,2019-06-22,Maren Morris,59,61,59,15,21b84faf-c629-4cf7-a535-bfc7a7ef1f00
Knockin' Boots,2019-06-22,Luke Bryan,61,64,61,7,62729b79-45de-4e00-9ffe-7f3990ae9ff2
Even Though I'm Leaving,2019-06-22,Luke Combs,62,,62,1,f83d1c45-322a-4337-a57a-1a23a93e4eea
Easier,2019-06-22,5 Seconds Of Summer,63,63,48,3,2e723198-d600-4b52-9d24-aefb94da0dca
Girls Need Love,2019-06-22,Summer Walker X Drake,64,66,37,16,7af02def-5946-4ac9-9478-a3de97ee497e
The Git Up,2019-06-22,Blanco Brown,66,,66,1,bcfb9be9-5ea0-4998-9822-68fc1cc76cf4
Rearview Town,2019-06-22,Jason Aldean,68,88,68,3,c674c4a2-aab4-401b-b763-225b55485908
Before I Let Go,2019-06-22,Beyonce,73,72,65,8,b9255bf6-41a2-4745-af43-c029ae07c298
Some Of It,2019-06-22,Eric Church,74,80,74,3,08eaa326-a4df-434f-a0fa-a950dc8ac51f
Sanguine Paradise,2019-06-22,Lil Uzi Vert,76,71,28,9,5d02cafc-0913-4853-a056-60ac0b0704d9
Soltera,2019-06-22,"Lunay, Daddy Yankee & Bad Bunny",77,74,73,5,b1c455e7-7b2f-404d-b6e7-1261f182d915
Talk You Out Of It,2019-06-22,Florida Georgia Line,78,81,77,17,0051dafd-d42c-4809-9769-e65470ab3690
Put A Date On It,2019-06-22,Yo Gotti Featuring Lil Baby,79,73,46,20,87953dbb-e60e-4582-9f9c-93ba28ceff3d
Love Ain't,2019-06-22,Eli Young Band,80,68,50,9,00b87afb-f39f-430a-b22e-85a261468e21
Shotta Flow,2019-06-22,NLE Choppa,81,82,81,8,6d3e01df-4892-4536-8622-8d2655959c11
Heaven,2019-06-22,Avicii,83,,83,1,4d9ddaf6-365e-4e48-8f3d-368c906242fe
Ocean Eyes,2019-06-22,Billie Eilish,85,86,84,16,af1256ad-2075-49b5-8288-4ad0648da61d
Big Ole Freak,2019-06-22,Megan Thee Stallion,86,77,65,10,8b67f6cc-d637-4ba5-9160-fcc0997981eb
Please Tell Me,2019-06-22,Future,87,,87,1,72d9d273-21b8-41f7-ac01-5b08c75b99b6
Only Human,2019-06-22,Jonas Brothers,93,,93,1,829ddfad-aad2-466a-a8c4-a60d67bba865
Bacc At It Again,2019-06-22,"Yella Beezy, Gucci Mane & Quavo",94,98,94,3,17647ef4-1e00-4920-9276-d2f1dce9e4f6
Robbery,2019-06-22,Juice WRLD,96,87,27,17,f13e6235-1579-452c-ba1e-f4d365abc7f1
XanaX Damage,2019-06-22,Future,98,,98,1,14963ce5-a7af-4fc9-aa2a-ef7d63fe1011
Government Official,2019-06-22,Future,99,,99,1,47d3ac9c-cf94-4427-91e3-7d7feea7d0cc
Otro Trago,2019-06-22,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",100,,100,1,6b048c69-73cf-4229-9006-0112dbea4adf
You Need To Calm Down,2019-06-29,Taylor Swift,2,,2,1,ab359bc9-5313-45f6-8643-7ba918efd5bd
Bad Guy,2019-06-29,Billie Eilish,3,2,2,12,5fa39768-3e67-4e0d-a63a-29e022d2d00c
Talk,2019-06-29,Khalid,4,3,3,19,5f65f0f1-3c21-4cf6-830b-c3acb516aca5
I Don't Care,2019-06-29,Ed Sheeran & Justin Bieber,5,5,2,6,09fe14ca-7734-4fa0-9365-8159d236d7af
Sucker,2019-06-29,Jonas Brothers,6,4,1,16,abb7a870-6ffb-4d24-b103-bbe638fc6aeb
Dancing With A Stranger,2019-06-29,Sam Smith & Normani,12,10,7,23,aa243e48-c9f6-4753-8b42-b2342bb8988b
If I Can't Have You,2019-06-29,Shawn Mendes,13,12,2,7,6dd2d92e-90f0-4f23-aab6-87316a653b4f
Truth Hurts,2019-06-29,Lizzo,14,17,14,7,1e88ada8-7fea-49d0-9e21-0413485fc694
ME!,2019-06-29,Taylor Swift Featuring Brendon Urie,15,14,2,9,26359b00-81fa-4f04-bcb5-d1f3955e72e7
Without Me,2019-06-29,Halsey,16,15,1,37,6333397f-2ecb-43d0-927c-adbc36c1bede
Sweet But Psycho,2019-06-29,Ava Max,17,13,10,27,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9
Pop Out,2019-06-29,Polo G Featuring Lil Tjay,18,11,11,13,a37c9b63-906b-447d-bb66-c42ac45e1489
7 Rings,2019-06-29,Ariana Grande,19,16,1,22,83aeafac-4d6e-486d-8cd8-d1ec531827b2
Happier,2019-06-29,Marshmello & Bastille,20,18,2,44,623b7611-08d9-4115-acd6-69f734dd3f24
God's Country,2019-06-29,Blake Shelton,21,19,19,12,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
Whiskey Glasses,2019-06-29,Morgan Wallen,22,20,17,16,fac61a09-4c85-4583-8786-ad7c41b00c48
High Hopes,2019-06-29,Panic! At The Disco,23,21,4,46,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
"Hey Look Ma, I Made It",2019-06-29,Panic! At The Disco,24,31,24,10,057c8042-8030-4070-b01b-b11b00817a0d
Rumor,2019-06-29,Lee Brice,25,36,25,15,8d9c5da7-09a9-4b76-b6d9-23b314399416
The London,2019-06-29,"Young Thug, J. Cole & Travis Scott",26,24,12,4,94853b83-5992-4744-a87b-d949b31cf775
Eastside,2019-06-29,"benny blanco, Halsey & Khalid",31,27,9,49,787087cb-cb94-442d-98dd-2eddc59f1f84
Act Up,2019-06-29,City Girls,32,26,26,16,7d2ef547-9835-484f-9143-a9afbe54a5b9
Pure Water,2019-06-29,Mustard & Migos,33,29,23,21,775b2382-638a-4bf8-bc72-1e838cd16fd5
Omerta,2019-06-29,Drake,35,,35,1,4906688f-eca5-493e-9bc9-9bd43ab2f821
EARFQUAKE,2019-06-29,"Tyler, The Creator",36,30,13,5,cb8df55b-345c-4c5e-8c86-39f345db43bc
Look What God Gave Her,2019-06-29,Thomas Rhett,37,39,32,16,b64ec516-e4ba-4a4f-9861-a6425ac20849
Better,2019-06-29,Khalid,38,35,8,40,5ef726de-68d8-4f74-806c-50d75d105bdb
Shallow,2019-06-29,Lady Gaga & Bradley Cooper,39,34,1,38,e8191687-56bf-4e69-860f-a898735ec268
Look Back At It,2019-06-29,A Boogie Wit da Hoodie,40,40,27,28,cc101b68-19c4-4dd2-be11-e4c0438130d4
"Break Up With Your Girlfriend, I'm Bored",2019-06-29,Ariana Grande,41,37,2,19,c34e6463-b344-4c74-a090-ebe1de89398b
Sicko Mode,2019-06-29,Travis Scott,42,38,1,46,b7326a80-8332-4ee0-8238-d6737efba347
Speechless,2019-06-29,Dan + Shay,43,33,24,26,7230a157-87d2-4242-868a-9b1d3253e392
Nightmare,2019-06-29,Halsey,44,43,15,5,8597db99-63fd-472e-b87f-e436c5107df9
When The Party's Over,2019-06-29,Billie Eilish,45,42,29,32,ba7a88da-f864-4ead-9a63-36f92d10de46
The Git Up,2019-06-29,Blanco Brown,51,66,51,2,bcfb9be9-5ea0-4998-9822-68fc1cc76cf4
Someone You Loved,2019-06-29,Lewis Capaldi,54,55,54,6,8fec020a-8282-4c6e-8a67-d0ec86f60911
Walk Me Home,2019-06-29,P!nk,55,57,49,16,55816604-7736-4a63-a728-2b1fe6c9fabe
Worth It,2019-06-29,YK Osiris,56,54,52,18,317ccbf3-e84b-40c0-a85d-1bc992dbc984
Please Me,2019-06-29,Cardi B & Bruno Mars,57,51,3,18,fe4c55b2-1a6e-48b2-991a-1fbe2be9eaf1
Knockin' Boots,2019-06-29,Luke Bryan,59,61,59,8,62729b79-45de-4e00-9ffe-7f3990ae9ff2
Press,2019-06-29,Cardi B,60,47,16,3,0b0b41ea-51de-4bb8-86c9-7039aff48faf
GIRL,2019-06-29,Maren Morris,61,59,59,16,1ca45337-fca7-4dde-9eb6-a91f1efd26f4
Easier,2019-06-29,5 Seconds Of Summer,62,63,48,4,25597f61-a704-4c93-84b7-067812cbc6a1
Girls Need Love,2019-06-29,Summer Walker X Drake,64,64,37,17,7af02def-5946-4ac9-9478-a3de97ee497e
Some Of It,2019-06-29,Eric Church,65,74,65,4,08eaa326-a4df-434f-a0fa-a950dc8ac51f
Miss Me More,2019-06-29,Kelsea Ballerini,70,56,47,20,e386e906-803b-4477-9e7c-d41a83e8c8c9
Love Someone,2019-06-29,Brett Eldredge,71,52,52,9,da04764a-c8f5-4115-ba30-b9dfb19a1d02
Before I Let Go,2019-06-29,Beyonce,72,73,65,9,b9255bf6-41a2-4745-af43-c029ae07c298
Talk You Out Of It,2019-06-29,Florida Georgia Line,73,78,73,18,0051dafd-d42c-4809-9769-e65470ab3690
Eyes On You,2019-06-29,Chase Rice,76,72,38,18,e004cd0e-0e98-40e5-89ca-81cb185a64d5
Soltera,2019-06-29,"Lunay, Daddy Yankee & Bad Bunny",77,77,73,6,b1c455e7-7b2f-404d-b6e7-1261f182d915
Sanguine Paradise,2019-06-29,Lil Uzi Vert,78,76,28,10,5d02cafc-0913-4853-a056-60ac0b0704d9
Sanctuary,2019-06-29,Joji,80,,80,1,a7aa28c6-9db9-43ff-baf8-f8d5b6874379
Otro Trago,2019-06-29,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",81,100,81,2,6b048c69-73cf-4229-9006-0112dbea4adf
Raised On Country,2019-06-29,Chris Young,83,90,83,3,f302bbab-713d-4a98-81a5-c98ac879789d
Trampoline,2019-06-29,SHAED,84,89,84,3,51ae7463-3af5-4888-a468-895bebcbd37c
Only Human,2019-06-29,Jonas Brothers,91,93,91,2,829ddfad-aad2-466a-a8c4-a60d67bba865
Big Ole Freak,2019-06-29,Megan Thee Stallion,93,86,65,11,79dc9803-30cc-4aa8-b424-ee9d7ea43eac
Te Robare,2019-06-29,Nicky Jam X Ozuna,94,91,91,6,285cb076-2586-4cf9-8167-9e52ee855548
It's You,2019-06-29,Ali Gatie,97,,97,1,d3641718-f119-4d3e-b9d3-3a284dbb8a4b
Robbery,2019-06-29,Juice WRLD,98,96,27,18,f13e6235-1579-452c-ba1e-f4d365abc7f1
The Ones That Didn't Make It Back Home,2019-06-29,Justin Moore,100,,100,1,2038d56a-d59b-41fb-8912-c98be8249afc
Senorita,2019-07-06,Shawn Mendes & Camila Cabello,2,,2,1,bef6b06e-f06a-4af4-a4c4-8b91a9864847
Bad Guy,2019-07-06,Billie Eilish,3,3,2,13,5fa39768-3e67-4e0d-a63a-29e022d2d00c
Talk,2019-07-06,Khalid,4,4,3,20,31dc0c27-2927-48a6-b622-823c15f824b4
No Guidance,2019-07-06,Chris Brown Featuring Drake,9,10,9,3,897719b4-e6dd-41c2-bd3d-9d43cab454a5
Wow.,2019-07-06,Post Malone,10,8,2,27,1de0c612-7251-40bf-aec9-a53bb1157c06
Truth Hurts,2019-07-06,Lizzo,11,14,11,8,8bcfe2b6-e4db-480e-ae0d-b8b107d20ad1
Sunflower (Spider-Man: Into The Spider-Verse),2019-07-06,Post Malone & Swae Lee,12,11,1,36,b6df9d04-2303-4ec7-a416-367b06a026cb
You Need To Calm Down,2019-07-06,Taylor Swift,13,2,2,2,ab359bc9-5313-45f6-8643-7ba918efd5bd
If I Can't Have You,2019-07-06,Shawn Mendes,14,13,2,8,6dd2d92e-90f0-4f23-aab6-87316a653b4f
Dancing With A Stranger,2019-07-06,Sam Smith & Normani,15,12,7,24,aa243e48-c9f6-4753-8b42-b2342bb8988b
Panini,2019-07-06,Lil Nas X,16,,16,1,fa60c2aa-288c-4f23-846d-05ef9b4d22b7
Without Me,2019-07-06,Halsey,17,16,1,38,e8460878-6581-4d57-9692-aee1d15009e7
God's Country,2019-07-06,Blake Shelton,18,21,18,13,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
Pop Out,2019-07-06,Polo G Featuring Lil Tjay,19,18,11,14,a90d60b3-e647-4460-8258-e319f00c8e5d
MEGATRON,2019-07-06,Nicki Minaj,20,,20,1,1327b608-c616-409e-bec0-0f11a78a662f
Sweet But Psycho,2019-07-06,Ava Max,21,17,10,28,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9
7 Rings,2019-07-06,Ariana Grande,23,19,1,23,83aeafac-4d6e-486d-8cd8-d1ec531827b2
Whiskey Glasses,2019-07-06,Morgan Wallen,28,22,17,17,fac61a09-4c85-4583-8786-ad7c41b00c48
The Git Up,2019-07-06,Blanco Brown,29,51,29,3,bcfb9be9-5ea0-4998-9822-68fc1cc76cf4
The London,2019-07-06,"Young Thug, J. Cole & Travis Scott",30,26,12,5,94853b83-5992-4744-a87b-d949b31cf775
ME!,2019-07-06,Taylor Swift Featuring Brendon Urie,31,15,2,10,26359b00-81fa-4f04-bcb5-d1f3955e72e7
High Hopes,2019-07-06,Panic! At The Disco,32,23,4,47,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
Beer Never Broke My Heart,2019-07-06,Luke Combs,33,28,22,8,51899a1a-8d48-4adb-a43a-1deef603de1a
Act Up,2019-07-06,City Girls,34,32,26,17,d6ebc3b9-7ad9-400f-8d46-ff7c1e76e2dd
Eastside,2019-07-06,"benny blanco, Halsey & Khalid",35,31,9,50,787087cb-cb94-442d-98dd-2eddc59f1f84
Middle Child,2019-07-06,J. Cole,36,30,4,23,3f48a631-dea1-480d-9433-f3b97e63246a
Pure Water,2019-07-06,Mustard & Migos,38,33,23,22,bc7f1e75-755d-465b-a6d0-b7403361a77b
Better,2019-07-06,Khalid,41,38,8,41,ba73118f-7c13-43f6-933c-9f048fe8c01f
Shallow,2019-07-06,Lady Gaga & Bradley Cooper,42,39,1,39,e8191687-56bf-4e69-860f-a898735ec268
Shotta Flow,2019-07-06,NLE Choppa,48,67,48,10,286c68bb-66a8-4b8b-b850-1a3c72762af7
"Break Up With Your Girlfriend, I'm Bored",2019-07-06,Ariana Grande,49,41,2,20,f9223f2d-9dda-47b6-b924-ae83c861cab9
Nightmare,2019-07-06,Halsey,50,44,15,6,2378b48d-8662-4bf7-851d-4f9ee44ed2c7
Go Loko,2019-07-06,"YG, Tyga & Jon Z",52,49,49,8,3e011372-da42-41d4-b85e-c2b8d374c7fb
Someone You Loved,2019-07-06,Lewis Capaldi,53,54,53,7,8fec020a-8282-4c6e-8a67-d0ec86f60911
Look What God Gave Her,2019-07-06,Thomas Rhett,54,37,32,17,f07c7c8e-3f9b-4e11-b2cf-b9e59e211746
Cool,2019-07-06,Jonas Brothers,55,50,27,12,28a308df-f8e9-4a26-bfd9-a55feebb7049
One Thing Right,2019-07-06,Marshmello & Kane Brown,57,,57,1,47fd8f25-3d73-4ab2-bb52-a3d3ddc7c728
Good As You,2019-07-06,Kane Brown,58,48,36,18,1b15090a-afd5-4bba-80ae-35b11d747007
Worth It,2019-07-06,YK Osiris,59,56,52,19,317ccbf3-e84b-40c0-a85d-1bc992dbc984
Knockin' Boots,2019-07-06,Luke Bryan,61,59,59,9,34b5e938-5d4c-40ef-acb4-e8bb8c386d58
Walk Me Home,2019-07-06,P!nk,62,55,49,17,0fce262b-e642-4444-b709-cde62dc680b3
Callaita,2019-07-06,Bad Bunny & Tainy,68,68,68,3,3f288b3a-3270-4984-9638-201c4d6754d3
It's You,2019-07-06,Ali Gatie,70,97,70,2,d3641718-f119-4d3e-b9d3-3a284dbb8a4b
Rearview Town,2019-07-06,Jason Aldean,71,69,68,5,c674c4a2-aab4-401b-b763-225b55485908
Girls Need Love,2019-07-06,Summer Walker X Drake,74,64,37,18,7af02def-5946-4ac9-9478-a3de97ee497e
Soltera,2019-07-06,"Lunay, Daddy Yankee & Bad Bunny",75,77,73,7,b1c455e7-7b2f-404d-b6e7-1261f182d915
Talk You Out Of It,2019-07-06,Florida Georgia Line,76,73,73,19,0051dafd-d42c-4809-9769-e65470ab3690
Trampoline,2019-07-06,SHAED,77,84,77,4,ce26aba2-f0bf-453e-a15a-5278ade478e8
Bacc At It Again,2019-07-06,"Yella Beezy, Gucci Mane & Quavo",78,87,78,5,17647ef4-1e00-4920-9276-d2f1dce9e4f6
Before I Let Go,2019-07-06,Beyonce,79,72,65,10,cb6e819a-ce5c-4f70-b32b-f60ed4401604
Raised On Country,2019-07-06,Chris Young,81,83,81,4,f302bbab-713d-4a98-81a5-c98ac879789d
Wake Up,2019-07-06,Travis Scott,82,89,30,4,7a68ab7b-a148-4917-882d-dea45d3de0a4
Love Someone,2019-07-06,Brett Eldredge,88,71,52,10,da04764a-c8f5-4115-ba30-b9dfb19a1d02
Sanguine Paradise,2019-07-06,Lil Uzi Vert,89,78,28,11,5d02cafc-0913-4853-a056-60ac0b0704d9
Love Ain't,2019-07-06,Eli Young Band,90,85,50,11,00b87afb-f39f-430a-b22e-85a261468e21
Only Human,2019-07-06,Jonas Brothers,92,91,91,3,4ff52497-b2ae-457b-9d1f-9233bff403ee
The Ones That Didn't Make It Back Home,2019-07-06,Justin Moore,93,100,93,2,2038d56a-d59b-41fb-8912-c98be8249afc
Big Ole Freak,2019-07-06,Megan Thee Stallion,94,93,65,12,8b67f6cc-d637-4ba5-9160-fcc0997981eb
Omerta,2019-07-06,Drake,99,35,35,2,4906688f-eca5-493e-9bc9-9bd43ab2f821
Sucker,2019-07-13,Jonas Brothers,7,6,1,18,abb7a870-6ffb-4d24-b103-bbe638fc6aeb
Sunflower (Spider-Man: Into The Spider-Verse),2019-07-13,Post Malone & Swae Lee,8,12,1,37,b6df9d04-2303-4ec7-a416-367b06a026cb
No Guidance,2019-07-13,Chris Brown Featuring Drake,9,9,9,4,897719b4-e6dd-41c2-bd3d-9d43cab454a5
Suge,2019-07-13,DaBaby,10,7,7,14,fde4aee5-feb2-4222-aef3-962834d80929
Wow.,2019-07-13,Post Malone,12,10,2,28,112ff70c-7e9a-46df-9235-e82939575ad0
You Need To Calm Down,2019-07-13,Taylor Swift,13,13,2,3,f40d709b-4e48-4e40-ab6b-4a02ec39498c
If I Can't Have You,2019-07-13,Shawn Mendes,14,14,2,9,6dd2d92e-90f0-4f23-aab6-87316a653b4f
Dancing With A Stranger,2019-07-13,Sam Smith & Normani,15,15,7,25,aa243e48-c9f6-4753-8b42-b2342bb8988b
The Git Up,2019-07-13,Blanco Brown,16,29,16,4,bcfb9be9-5ea0-4998-9822-68fc1cc76cf4
God's Country,2019-07-13,Blake Shelton,17,18,17,14,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
"Hey Look Ma, I Made It",2019-07-13,Panic! At The Disco,18,24,18,12,057c8042-8030-4070-b01b-b11b00817a0d
Without Me,2019-07-13,Halsey,19,17,1,39,6333397f-2ecb-43d0-927c-adbc36c1bede
Pop Out,2019-07-13,Polo G Featuring Lil Tjay,20,19,11,15,a90d60b3-e647-4460-8258-e319f00c8e5d
Sweet But Psycho,2019-07-13,Ava Max,21,21,10,29,c1a2d915-98ea-46cd-950d-adb99b408826
Whiskey Glasses,2019-07-13,Morgan Wallen,27,28,17,18,fac61a09-4c85-4583-8786-ad7c41b00c48
Never Really Over,2019-07-13,Katy Perry,28,27,15,5,b6fe3b81-8eb9-48b9-8e2f-12ae87cb97c4
Pure Water,2019-07-13,Mustard & Migos,29,38,23,23,bc7f1e75-755d-465b-a6d0-b7403361a77b
Act Up,2019-07-13,City Girls,30,34,26,18,7d2ef547-9835-484f-9143-a9afbe54a5b9
The London,2019-07-13,"Young Thug, J. Cole & Travis Scott",31,30,12,6,94853b83-5992-4744-a87b-d949b31cf775
Rumor,2019-07-13,Lee Brice,32,26,25,17,8d9c5da7-09a9-4b76-b6d9-23b314399416
High Hopes,2019-07-13,Panic! At The Disco,33,32,4,48,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
Speechless,2019-07-13,Dan + Shay,34,44,24,28,7230a157-87d2-4242-868a-9b1d3253e392
Eastside,2019-07-13,"benny blanco, Halsey & Khalid",36,35,9,51,787087cb-cb94-442d-98dd-2eddc59f1f84
ME!,2019-07-13,Taylor Swift Featuring Brendon Urie,39,31,2,11,26359b00-81fa-4f04-bcb5-d1f3955e72e7
Someone You Loved,2019-07-13,Lewis Capaldi,46,53,46,8,b3aa767f-c9a0-452f-ba68-ff682e6acb3a
Better,2019-07-13,Khalid,47,41,8,42,9b8fe367-124f-4ead-a03c-d2d5b890c507
Look Back At It,2019-07-13,A Boogie Wit da Hoodie,48,47,27,30,cc101b68-19c4-4dd2-be11-e4c0438130d4
Shallow,2019-07-13,Lady Gaga & Bradley Cooper,49,42,1,40,e8191687-56bf-4e69-860f-a898735ec268
Knockin' Boots,2019-07-13,Luke Bryan,50,61,50,10,34b5e938-5d4c-40ef-acb4-e8bb8c386d58
Look What God Gave Her,2019-07-13,Thomas Rhett,51,54,32,18,b64ec516-e4ba-4a4f-9861-a6425ac20849
EARFQUAKE,2019-07-13,"Tyler, The Creator",52,46,13,7,4fb4b8fe-f837-4ffb-b0ac-efd30940654a
Go Loko,2019-07-13,"YG, Tyga & Jon Z",53,52,49,9,3e011372-da42-41d4-b85e-c2b8d374c7fb
Nightmare,2019-07-13,Halsey,54,50,15,7,2378b48d-8662-4bf7-851d-4f9ee44ed2c7
Some Of It,2019-07-13,Eric Church,55,66,55,6,c00e7de7-3634-4615-ba09-72814b3870f8
Cool,2019-07-13,Jonas Brothers,57,55,27,13,28a308df-f8e9-4a26-bfd9-a55feebb7049
All To Myself,2019-07-13,Dan + Shay,59,67,59,9,e8d126c1-d46c-438c-be92-ed3406e91d24
