song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
I Want You To Know,1969-09-20,The New Colony Six,73,74,73,4,591dff4d-c05c-49a6-ad9d-b8ce29fa908f
Armstrong,1969-09-20,John Stewart,74,75,74,3,103f1ad8-58ef-473b-91b4-266551c16a22
Something In The Air,1969-09-20,Thunderclap Newman,75,80,75,3,fbef6f50-7907-4ecb-b7c5-4db55e690c04
Runnin' Blue,1969-09-20,The Doors,76,85,76,3,519ebd55-f0a7-4657-92bc-c29d25be842d
Rain,1969-09-20,Jose Feliciano,77,76,76,5,8009959e-dbdd-43ae-b1a4-f26836e4b23b
Can't Find The Time,1969-09-20,Orpheus,84,84,84,5,07a208e8-7f9f-4a3b-90fe-e53e04a33095
Love's Been Good To Me,1969-09-20,Frank Sinatra,85,98,85,2,415e58f7-461d-48c6-a0c1-db0c5a774a34
Chains Of Love,1969-09-20,Bobby Bland,86,88,86,2,321a3d09-fe69-48bc-88b5-eac7047bdb12
Life And Death In G & A,1969-09-20,Abaco Dream,87,87,87,3,24c6ee24-cd8a-4ff9-b352-ccd2af2a38fd
Moonlight Sonata,1969-09-20,Henry Mancini And His Orchestra,88,91,88,3,284c5814-fa36-4dc7-8ee5-d76a04410d76
Let A Woman Be A Woman - Let A Man Be A Man,1969-09-20,Dyke And The Blazers,89,,89,1,9d853171-d1c6-431f-b039-13a27fec73a1
You've Lost That Lovin' Feeling,1969-09-20,Dionne Warwick,90,,90,1,80e57043-6211-4608-91ff-2fba33463fa0
All I Have To Offer You (Is Me),1969-09-20,Charley Pride,91,94,91,5,4934140d-b850-4e53-be06-1892194743b9
Don't Forget To Remember,1969-09-20,Bee Gees,92,,92,1,58af9e1f-9333-4a23-aca5-9922ce1fb804
My Balloon's Going Up,1969-09-20,Archie Bell & The Drells,93,96,93,2,5db4a168-8fbb-4b78-a682-4715c40a306f
Jesus Is A Soul Man,1969-09-20,Lawrence Reynolds,94,,94,1,1845c13a-9b92-4a1a-96fd-c5abe685230a
Goodbye Columbus,1969-09-20,The Association,95,,80,9,94f6e612-a2fa-41d7-958c-3b177dba132e
Kool And The Gang,1969-09-20,Kool & The Gang,96,100,96,2,82f45f88-379a-487b-a9b5-801735628905
"Since I Met You, Baby",1969-09-20,Sonny James,97,,97,1,ed7abb2a-4112-4cb2-954c-3c89d8d70cbc
Drummer Man,1969-09-20,Nancy Sinatra,98,,98,1,667a7428-c5d4-4481-ae44-5792a117b206
Honky Tonk Women,1969-09-27,The Rolling Stones,3,2,1,11,60a3a461-f610-4e57-bca8-ecf0413365d8
Easy To Be Hard,1969-09-27,Three Dog Night,4,5,4,8,c63e79df-ba55-4548-b5a9-c4e046232821
Little Woman,1969-09-27,Bobby Sherman,5,9,5,6,9fb5425f-7d3f-49f2-907e-7a7c30261117
I Can't Get Next To You,1969-09-27,The Temptations,6,10,6,7,cb51772d-5b2b-4eec-aaf5-febb97de9c25
Jean,1969-09-27,Oliver,7,8,7,7,69fce992-f969-4714-b2fb-b0c4ca239b10
I'll Never Fall In Love Again,1969-09-27,Tom Jones,8,6,6,17,73f317ce-bb4f-4a15-9fad-61eb069b6dd2
Hot Fun In The Summertime,1969-09-27,Sly & The Family Stone,9,21,9,8,a9969ce5-e51f-4a42-a947-74f8dde136df
"Oh, What A Night",1969-09-27,The Dells,10,11,10,7,59b8cf99-e470-43db-9bf8-062194ee726f
A Boy Named Sue,1969-09-27,Johnny Cash,11,4,2,10,3ac0d8b4-0ffc-4330-af1a-d54d5cf779e2
This Girl Is A Woman Now,1969-09-27,Gary Puckett And The Union Gap,12,14,12,6,35b9d136-6434-4beb-9d10-cbea827d1070
Get Together,1969-09-27,The Youngbloods,13,7,5,22,02485f30-3046-44e5-b463-6adb24e0bd9b
Hurt So Bad,1969-09-27,The Lettermen,14,12,12,18,04eaf287-8a11-4918-9fde-5e85fe942b50
That's The Way Love Is,1969-09-27,Marvin Gaye,15,28,15,6,3242fb15-0bbf-4e62-8a3b-2b45118905e5
Keem-O-Sabe,1969-09-27,The Electric Indian,16,22,16,9,e99c1c61-87a5-4878-8eaf-ccffb710ce3e
Everybody's Talkin',1969-09-27,Nilsson,17,18,17,7,7456fcbb-09c4-473b-b5b0-53cfe5bed22c
What Kind Of Fool Do You Think I Am,1969-09-27,Bill Deal & The Rhondels,23,23,23,7,1b19f728-9669-429c-a14e-2d94bc96c4bc
Put A Little Love In Your Heart,1969-09-27,Jackie DeShannon,24,19,4,14,ce672b84-9143-40e4-a561-33bb959bf386
I'd Wait A Million Years,1969-09-27,The Grass Roots,25,15,15,13,336cf8a3-18b1-4906-8c9d-202fe8e5c35b
I'm Gonna Make You Mine,1969-09-27,Lou Christie,26,27,26,6,9384a525-d242-4c73-af04-31fbd072b99a
Sweet Caroline (Good Times Never Seemed So Good),1969-09-27,Neil Diamond,27,17,4,14,6995dd87-d99c-4703-916f-58a6beeb4b0a
Soul Deep,1969-09-27,The Box Tops,28,25,18,13,ac328aaa-ba36-4b10-a7c2-8a48ff709ca4
Share Your Love With Me,1969-09-27,Aretha Franklin,29,13,13,9,46e9da61-5b15-47a1-8124-33378a5bc05b
"You, I",1969-09-27,The Rugbys,30,46,30,6,59e5d9d1-79af-408c-8435-72ac9cf985a7
Move Over,1969-09-27,Steppenwolf,31,31,31,7,4936259d-fca9-40d0-8baa-e2691d7ff0db
Carry Me Back,1969-09-27,The Rascals,32,32,32,4,3472ebf7-269b-4cc0-8671-88e085a94560
Sugar On Sunday,1969-09-27,The Clique,33,37,33,5,f3913969-ebac-4d4d-be97-5b5920150ed7
Daddy's Little Man,1969-09-27,O.C. Smith,34,34,34,5,27ea47f1-63b1-43dd-92de-6a54b43c7f20
The Nitty Gritty,1969-09-27,Gladys Knight And The Pips,35,30,19,11,308101e2-e212-43db-a462-c9a96b87cad7
Did You See Her Eyes,1969-09-27,The Illusion,36,33,32,13,84f1d137-1a47-4938-bcc6-7b311163b246
World (Part 1),1969-09-27,James Brown,37,58,37,3,7e4b9a84-2dc7-411b-9db9-5db31c7824b6
Here I Go Again,1969-09-27,Smokey Robinson & The Miracles,43,50,43,6,f3c72b22-738f-477b-81ef-eb12c9da9c65
You Got Yours And I'll Get Mine,1969-09-27,The Delfonics,45,51,45,7,f443abf4-6c8e-433b-92fd-fee530bcbcb1
Nobody But You Babe,1969-09-27,Clarence Reid,46,40,40,9,1c3d325f-125c-44db-8b91-d77d6e7ef04a
Lowdown Popcorn,1969-09-27,James Brown,47,41,41,6,174fe919-9418-429a-aad7-d02a926689ca
Tracy,1969-09-27,The Cuff Links,49,68,49,3,8ca8f24f-cd14-4a80-9d61-2b37f1a8adc1
Baby It's You,1969-09-27,Smith,50,62,50,4,fd01c42a-6e22-4709-ac79-6bcc73439d42
No One For Me To Turn To,1969-09-27,Spiral Starecase,52,52,52,5,5d3690c4-c0cf-4576-b2b1-44b91a546c20
Muddy Mississippi Line,1969-09-27,Bobby Goldsboro,53,53,53,7,88e1b387-c50e-40c8-9c9c-ec161853c520
Make Believe,1969-09-27,Wind,54,70,54,4,9a28e95d-7b00-4ea9-9432-d3e9599a5625
Máh-Ná-Mah-Ná,1969-09-27,Piero Umiliani,56,63,56,4,c771831d-9170-4ded-a202-a1e8a5dc5298
You've Lost That Lovin' Feeling,1969-09-27,Dionne Warwick,57,90,57,2,80e57043-6211-4608-91ff-2fba33463fa0
Sad Girl,1969-09-27,The Intruders,61,59,59,5,6cbe6e6e-bd68-4053-bd50-0192ab7bb5f1
Something In The Air,1969-09-27,Thunderclap Newman,62,75,62,4,fbef6f50-7907-4ecb-b7c5-4db55e690c04
Walk On By,1969-09-27,Isaac Hayes,63,83,63,5,0c70af35-b519-4cf4-85b7-7cfb6fd501e7
Jack And Jill,1969-09-27,Tommy Roe,64,71,54,9,cc7b8051-adce-4097-904a-cc305a8ac637
I Want You To Know,1969-09-27,The New Colony Six,65,73,65,5,591dff4d-c05c-49a6-ad9d-b8ce29fa908f
Let A Woman Be A Woman - Let A Man Be A Man,1969-09-27,Dyke And The Blazers,66,89,66,2,9d853171-d1c6-431f-b039-13a27fec73a1
Wedding Bell Blues,1969-09-27,The 5th Dimension,67,,67,1,57576c02-9179-4fb3-a4aa-b3107d09596b
Lodi,1969-09-27,Al Wilson,68,67,67,6,7d23400a-6656-4e73-8d30-2d9e9d6947ca
The Train,1969-09-27,1910 Fruitgum Co.,69,64,64,6,07ae3768-03c0-47ca-9fe8-d678c5f8c60b
Jesus Is A Soul Man,1969-09-27,Lawrence Reynolds,70,94,70,2,b920a1c2-6826-4b51-8c6e-7aca133c016e
Runnin' Blue,1969-09-27,The Doors,71,76,71,4,2a0c3760-7ea8-45d4-aee2-95f3fedaa85a
Any Way That You Want Me,1969-09-27,Evie Sands,72,80,72,7,5ae1ffe3-b1d2-4419-8ca2-4edba59d5cd9
Don't Forget To Remember,1969-09-27,Bee Gees,73,92,73,2,92b4b548-2184-48eb-85de-f728975ebf01
Life And Death In G & A,1969-09-27,Abaco Dream,74,87,74,4,24c6ee24-cd8a-4ff9-b352-ccd2af2a38fd
Love's Been Good To Me,1969-09-27,Frank Sinatra,75,85,75,3,415e58f7-461d-48c6-a0c1-db0c5a774a34
Son Of A Lovin' Man,1969-09-27,Buchanan Brothers,80,81,80,2,7650b744-ae36-4d99-be46-e54ed16c4c51
Chains Of Love,1969-09-27,Bobby Bland,81,86,81,3,321a3d09-fe69-48bc-88b5-eac7047bdb12
So Good Together,1969-09-27,Andy Kim,82,,82,1,91cafd49-10d4-4d39-a9f3-b81cedbf99cc
Can't Find The Time,1969-09-27,Orpheus,83,84,83,6,33d7fa97-a893-4911-8fb8-b2b0ba9c4676
San Francisco Is A Lonely Town,1969-09-27,Joe Simon,84,,84,1,403d74fd-5920-4b89-978e-9647ec97539a
Echo Park,1969-09-27,Keith Barbour,85,,85,1,28c59a62-1212-4924-9380-dc04ecd00615
"Baby, I'm For Real",1969-09-27,The Originals,86,,86,1,5d45e337-3372-4b88-99eb-ea0d648dfa37
Moonlight Sonata,1969-09-27,Henry Mancini And His Orchestra,87,88,87,4,284c5814-fa36-4dc7-8ee5-d76a04410d76
My Balloon's Going Up,1969-09-27,Archie Bell & The Drells,88,93,88,3,5db4a168-8fbb-4b78-a682-4715c40a306f
Slum Baby,1969-09-27,Booker T. & The MG's,89,,89,3,11dd8865-c4a8-4597-8b8b-78f799be971d
"Since I Met You, Baby",1969-09-27,Sonny James,90,97,90,2,ed7abb2a-4112-4cb2-954c-3c89d8d70cbc
Time Machine,1969-09-27,Grand Funk Railroad,91,,91,1,d8d20870-93ec-432e-9a8f-0cc8e06421b2
Was It Good To You,1969-09-27,The Isley Brothers,93,,93,1,b55eaa3f-f31a-4aba-8247-6c43882b3e8e
Goodbye Columbus,1969-09-27,The Association,94,95,80,10,f8d40991-57a4-419a-bc4a-f979f6ff4e6f
Good Clean Fun,1969-09-27,The Monkees,99,100,99,2,fd351a40-09cd-41cc-ae45-866a1f2f809e
Reuben James,1969-09-27,Kenny Rogers & The First Edition,100,,100,1,75ad1605-a080-49c1-8aa0-0944059fa70f
"Sugar, Sugar",1969-10-04,The Archies,1,1,1,11,fdb7cc59-2104-4faa-9b4c-7d45ffa5087b
Jean,1969-10-04,Oliver,2,7,2,8,a2951b49-bc0d-41e7-9b69-4496b2d58b7d
Little Woman,1969-10-04,Bobby Sherman,3,5,3,7,9fb5425f-7d3f-49f2-907e-7a7c30261117
Easy To Be Hard,1969-10-04,Three Dog Night,4,4,4,9,cc862267-0fca-4f24-bb61-cac54e8a312f
I Can't Get Next To You,1969-10-04,The Temptations,5,6,5,8,cb51772d-5b2b-4eec-aaf5-febb97de9c25
Honky Tonk Women,1969-10-04,The Rolling Stones,6,3,1,12,be43f239-13e8-4155-918d-c5db87def62a
Green River,1969-10-04,Creedence Clearwater Revival,7,2,2,10,78184909-758d-49f5-a4f8-70839a7b8872
Everybody's Talkin',1969-10-04,Nilsson,8,17,8,8,bb328cad-ff2f-4745-bfae-62af65e8d6f5
Hot Fun In The Summertime,1969-10-04,Sly & The Family Stone,9,9,9,9,2d40c6a1-5055-44b3-be3f-089ccec4a52d
"Oh, What A Night",1969-10-04,The Dells,10,10,10,8,cc9cb931-245f-4cee-b484-d89945d2e966
This Girl Is A Woman Now,1969-10-04,Gary Puckett And The Union Gap,11,12,11,7,404e08fb-8479-40fc-90b3-18dcf7873da9
I'll Never Fall In Love Again,1969-10-04,Tom Jones,12,8,6,18,f313dd05-237b-4544-a664-de87a719e605
Get Together,1969-10-04,The Youngbloods,13,13,5,23,6f65aee5-53a9-422e-8fc5-11c5526f4018
When I Die,1969-10-04,Motherlode,19,21,19,9,10fba9eb-c52b-41f3-807b-2d1de164fc3d
I'm Gonna Make You Mine,1969-10-04,Lou Christie,20,26,20,7,b970b616-14cf-489a-929a-52b7967e9619
Lay Lady Lay,1969-10-04,Bob Dylan,21,20,7,13,bdd23fd5-98b9-453b-9748-80a2f4c6e50b
What's The Use Of Breaking Up,1969-10-04,Jerry Butler,22,22,22,6,cc8a9798-9f48-4af7-8ac4-44cb648b3949
Your Good Thing (Is About To End),1969-10-04,Lou Rawls,23,18,18,12,6b45889b-4d29-4d66-8cb9-e57ba2938ac2
Baby It's You,1969-10-04,Smith,24,50,24,5,fd01c42a-6e22-4709-ac79-6bcc73439d42
Sugar On Sunday,1969-10-04,The Clique,25,33,25,6,93671422-24d2-490c-b707-a5c0a63b4776
I'd Wait A Million Years,1969-10-04,The Grass Roots,26,25,15,14,336cf8a3-18b1-4906-8c9d-202fe8e5c35b
Carry Me Back,1969-10-04,The Rascals,27,32,27,5,5f95edfe-049f-4c76-b864-f4c6e4bf28cb
"You, I",1969-10-04,The Rugbys,28,30,28,7,9cf94f63-e0be-439f-a5d7-40c2049a5dc1
Tracy,1969-10-04,The Cuff Links,29,49,29,4,916083f6-9412-4832-9c63-7ae49ca64097
What Kind Of Fool Do You Think I Am,1969-10-04,Bill Deal & The Rhondels,30,23,23,8,1b19f728-9669-429c-a14e-2d94bc96c4bc
Share Your Love With Me,1969-10-04,Aretha Franklin,31,29,13,10,ee0538b6-4064-4d50-883f-bc46ea55188a
Soul Deep,1969-10-04,The Box Tops,32,28,18,14,ac328aaa-ba36-4b10-a7c2-8a48ff709ca4
In A Moment,1969-10-04,The Intrigues,33,41,33,10,187d18e9-74b4-4338-a835-a50c6f7902c0
By The Time I Get To Phoenix,1969-10-04,Isaac Hayes,39,39,39,6,7193255f-3968-4831-b25c-41cf3f10027b
You Got Yours And I'll Get Mine,1969-10-04,The Delfonics,40,45,40,8,f443abf4-6c8e-433b-92fd-fee530bcbcb1
Going In Circles,1969-10-04,The Friends Of Distinction,41,42,41,8,6f9b65ab-51ca-43bf-bb1e-29b0566c29ec
Daddy's Little Man,1969-10-04,O.C. Smith,42,34,34,6,0b7a0df3-8da1-4f2d-b7db-b30ca414456b
It's Getting Better,1969-10-04,Mama Cass,43,40,30,18,11f83b12-fdf8-4656-a768-26c970f087a0
Jesus Is A Soul Man,1969-10-04,Lawrence Reynolds,45,70,45,3,b920a1c2-6826-4b51-8c6e-7aca133c016e
Nobody But You Babe,1969-10-04,Clarence Reid,47,46,40,10,87426b08-4f28-4fd2-b8f9-34654714cb91
Jealous Kind Of Fella,1969-10-04,Garland Green,48,60,48,4,ea13728e-4606-4c37-9cce-8595ba4a9237
Walk On By,1969-10-04,Isaac Hayes,49,63,49,6,d447ca72-80e9-4520-b6a5-18a8691acf92
Is That All There Is,1969-10-04,Peggy Lee,50,76,50,2,23d96601-0567-44d4-b59b-618ff37fe590
You've Lost That Lovin' Feeling,1969-10-04,Dionne Warwick,53,57,53,3,b4fbe0d7-7ba8-4fcc-8c68-9dd0fa16221f
Jack And Jill,1969-10-04,Tommy Roe,58,64,54,10,cc7b8051-adce-4097-904a-cc305a8ac637
Sad Girl,1969-10-04,The Intruders,59,61,59,6,6cbe6e6e-bd68-4053-bd50-0192ab7bb5f1
No One For Me To Turn To,1969-10-04,Spiral Starecase,60,52,52,6,5d3690c4-c0cf-4576-b2b1-44b91a546c20
Son Of A Lovin' Man,1969-10-04,Buchanan Brothers,61,80,61,3,7650b744-ae36-4d99-be46-e54ed16c4c51
Any Way That You Want Me,1969-10-04,Evie Sands,62,72,62,8,f8fd37be-5dc0-4b81-98fb-df2c10fdf08a
Muddy Mississippi Line,1969-10-04,Bobby Goldsboro,63,53,53,8,88e1b387-c50e-40c8-9c9c-ec161853c520
Runnin' Blue,1969-10-04,The Doors,64,71,64,5,3ae8133e-1555-4427-b815-8f51accc65a6
Let A Woman Be A Woman - Let A Man Be A Man,1969-10-04,Dyke And The Blazers,65,66,65,3,9d853171-d1c6-431f-b039-13a27fec73a1
Smile A Little Smile For Me,1969-10-04,The Flying Machine,66,,66,1,38055f90-9acc-4f82-9b20-dc7d72aa7b43
So Good Together,1969-10-04,Andy Kim,67,82,67,2,c0ecefae-1569-441c-8555-9c01f56379f7
I Want You To Know,1969-10-04,The New Colony Six,68,65,65,6,591dff4d-c05c-49a6-ad9d-b8ce29fa908f
The Train,1969-10-04,1910 Fruitgum Co.,69,69,64,7,f3b94cbf-7c7d-49b8-a87b-843d2d249797
You'll Never Walk Alone,1969-10-04,The Brooklyn Bridge,70,,70,1,c69be23e-46e8-4cc6-8923-d079f4355ab6
Chains Of Love,1969-10-04,Bobby Bland,71,81,71,4,321a3d09-fe69-48bc-88b5-eac7047bdb12
Doin' Our Thing,1969-10-04,Clarence Carter,72,77,72,2,0a3ca056-5e06-4fd0-a510-4ddfb9048ede
Get Off My Back Woman,1969-10-04,B.B. King,77,79,77,6,d037a7bd-674e-4e49-b6da-c2aa9df92eca
Echo Park,1969-10-04,Keith Barbour,78,85,78,2,28c59a62-1212-4924-9380-dc04ecd00615
"Baby, I'm For Real",1969-10-04,The Originals,79,86,79,2,5d45e337-3372-4b88-99eb-ea0d648dfa37
Can't Find The Time,1969-10-04,Orpheus,80,83,80,7,33d7fa97-a893-4911-8fb8-b2b0ba9c4676
Lodi,1969-10-04,Al Wilson,81,68,67,7,7d23400a-6656-4e73-8d30-2d9e9d6947ca
Ball Of Fire,1969-10-04,Tommy James And The Shondells,82,,82,1,3fcd8ffc-c613-43f2-a73a-a7b4be1a0bc5
Time Machine,1969-10-04,Grand Funk Railroad,83,91,83,2,d8d20870-93ec-432e-9a8f-0cc8e06421b2
San Francisco Is A Lonely Town,1969-10-04,Joe Simon,84,84,84,2,403d74fd-5920-4b89-978e-9647ec97539a
Suite: Judy Blue Eyes,1969-10-04,"Crosby, Stills & Nash",86,,86,1,0ffb426d-661a-4826-9c67-568fb9edf7db
My Balloon's Going Up,1969-10-04,Archie Bell & The Drells,87,88,87,4,9a2cb338-34e4-417a-8e8d-fe200ece830a
Slum Baby,1969-10-04,Booker T. & The MG's,88,89,88,4,04725c75-3894-4426-a15d-2398bfb3c759
Reuben James,1969-10-04,Kenny Rogers & The First Edition,89,100,89,2,1a29b9ec-917c-4918-b338-5d5b24c063e6
The Ways To Love A Man,1969-10-04,Tammy Wynette,90,,90,3,8ac48ae2-b4d9-4bf0-afa7-84ba67c4611c
Goodbye Columbus,1969-10-04,The Association,91,94,80,11,94f6e612-a2fa-41d7-958c-3b177dba132e
Julia,1969-10-04,Ramsey Lewis,96,97,96,2,5599fd31-b5a7-438b-a92f-18916eb003d8
Good Clean Fun,1969-10-04,The Monkees,97,99,97,3,7ccc20f5-241e-4397-bdd6-661037587e03
Delta Lady,1969-10-04,Joe Cocker,98,,98,1,d813b414-acd7-42cb-8525-967323af82ce
Cherry Hill Park,1969-10-04,Billy Joe Royal,99,,99,1,7f57fde4-a957-4c24-864b-4f29ffd8ef3a
Eternity,1969-10-04,Vikki Carr,100,,100,1,0c066314-506b-449e-af13-cfd417565a36
"Sugar, Sugar",1969-10-11,The Archies,1,1,1,12,f10a9154-f142-479d-bec0-23f59ef8cabb
Jean,1969-10-11,Oliver,2,2,2,9,a2951b49-bc0d-41e7-9b69-4496b2d58b7d
Little Woman,1969-10-11,Bobby Sherman,3,3,3,8,7ec4bf20-83c6-4987-a39a-12381b50e95b
I Can't Get Next To You,1969-10-11,The Temptations,4,5,4,9,c128ed23-8a73-43e4-b78e-652d8dcbf7f8
Hot Fun In The Summertime,1969-10-11,Sly & The Family Stone,5,9,5,10,2d40c6a1-5055-44b3-be3f-089ccec4a52d
Everybody's Talkin',1969-10-11,Nilsson,6,8,6,9,7456fcbb-09c4-473b-b5b0-53cfe5bed22c
Easy To Be Hard,1969-10-11,Three Dog Night,7,4,4,10,f91a7233-c242-495b-bedd-6b8ecffbcae5
Honky Tonk Women,1969-10-11,The Rolling Stones,8,6,1,13,0af76497-fb09-4eb4-9092-f6939e55c0c0
This Girl Is A Woman Now,1969-10-11,Gary Puckett And The Union Gap,9,11,9,8,9ac08fc6-4539-43b9-9556-bb2d4b73899c
Green River,1969-10-11,Creedence Clearwater Revival,10,7,2,11,78184909-758d-49f5-a4f8-70839a7b8872
Baby It's You,1969-10-11,Smith,15,24,15,6,fd01c42a-6e22-4709-ac79-6bcc73439d42
Get Together,1969-10-11,The Youngbloods,16,13,5,24,6f65aee5-53a9-422e-8fc5-11c5526f4018
I'll Never Fall In Love Again,1969-10-11,Tom Jones,17,12,6,19,73f317ce-bb4f-4a15-9fad-61eb069b6dd2
When I Die,1969-10-11,Motherlode,18,19,18,10,10fba9eb-c52b-41f3-807b-2d1de164fc3d
Tracy,1969-10-11,The Cuff Links,19,29,19,5,03e3c737-ee50-48d8-b6eb-821e1f1e588c
What's The Use Of Breaking Up,1969-10-11,Jerry Butler,20,22,20,7,e75627c1-b81d-4498-b3ab-7c35884fb99a
Hurt So Bad,1969-10-11,The Lettermen,21,18,12,20,04eaf287-8a11-4918-9fde-5e85fe942b50
A Boy Named Sue,1969-10-11,Johnny Cash,22,17,2,12,3ac0d8b4-0ffc-4330-af1a-d54d5cf779e2
Keem-O-Sabe,1969-10-11,The Electric Indian,23,16,16,11,4cefbe6f-faa3-4ae9-895d-6130c622b361
Sugar On Sunday,1969-10-11,The Clique,24,25,24,7,f3913969-ebac-4d4d-be97-5b5920150ed7
Wedding Bell Blues,1969-10-11,The 5th Dimension,25,35,25,3,fbbd4abd-be4b-476b-8e28-8b4c7822210a
Carry Me Back,1969-10-11,The Rascals,26,27,26,6,db8dd6fe-c9fa-4c55-8ccb-50872983d59a
"You, I",1969-10-11,The Rugbys,27,28,27,8,59e5d9d1-79af-408c-8435-72ac9cf985a7
Lay Lady Lay,1969-10-11,Bob Dylan,28,21,7,14,bdd23fd5-98b9-453b-9748-80a2f4c6e50b
I'd Wait A Million Years,1969-10-11,The Grass Roots,29,26,15,15,336cf8a3-18b1-4906-8c9d-202fe8e5c35b
Make Believe,1969-10-11,Wind,35,36,35,6,9a28e95d-7b00-4ea9-9432-d3e9599a5625
You've Lost That Lovin' Feeling,1969-10-11,Dionne Warwick,36,53,36,4,b4fbe0d7-7ba8-4fcc-8c68-9dd0fa16221f
Here I Go Again,1969-10-11,Smokey Robinson & The Miracles,37,38,37,8,6a8f81a1-c20f-4f89-9d71-021d492d19e6
By The Time I Get To Phoenix,1969-10-11,Isaac Hayes,38,39,38,7,23ac581f-3a13-4a5f-aeb9-bca6325245a9
Jesus Is A Soul Man,1969-10-11,Lawrence Reynolds,39,45,39,4,1845c13a-9b92-4a1a-96fd-c5abe685230a
You Got Yours And I'll Get Mine,1969-10-11,The Delfonics,40,40,40,9,75f10bc3-c465-4a0d-b4e1-cb3a0c036d07
Daddy's Little Man,1969-10-11,O.C. Smith,42,42,34,7,27ea47f1-63b1-43dd-92de-6a54b43c7f20
Move Over,1969-10-11,Steppenwolf,43,34,31,9,4936259d-fca9-40d0-8baa-e2691d7ff0db
World (Part 1),1969-10-11,James Brown,44,37,37,5,7e4b9a84-2dc7-411b-9db9-5db31c7824b6
It's Getting Better,1969-10-11,Mama Cass,45,43,30,19,1e6a5ac2-d6eb-4b22-a1a0-29db463c579e
Jealous Kind Of Fella,1969-10-11,Garland Green,46,48,46,5,ea13728e-4606-4c37-9cce-8595ba4a9237
Sad Girl,1969-10-11,The Intruders,47,59,47,7,6cbe6e6e-bd68-4053-bd50-0192ab7bb5f1
Walk On By,1969-10-11,Isaac Hayes,48,49,48,7,d447ca72-80e9-4520-b6a5-18a8691acf92
Love Of The Common People,1969-10-11,The Winstons,55,57,55,4,89682102-39d6-4bad-98bd-2ae7eeee7ec5
So Good Together,1969-10-11,Andy Kim,56,67,56,3,c0ecefae-1569-441c-8555-9c01f56379f7
The Train,1969-10-11,1910 Fruitgum Co.,57,69,57,8,07ae3768-03c0-47ca-9fe8-d678c5f8c60b
Echo Park,1969-10-11,Keith Barbour,58,78,58,3,952017f8-0998-40c8-8874-7e2590a4d193
You'll Never Walk Alone,1969-10-11,The Brooklyn Bridge,59,70,59,2,c69be23e-46e8-4cc6-8923-d079f4355ab6
Máh-Ná-Mah-Ná,1969-10-11,Piero Umiliani,60,55,55,6,c771831d-9170-4ded-a202-a1e8a5dc5298
Son Of A Lovin' Man,1969-10-11,Buchanan Brothers,61,61,61,4,7650b744-ae36-4d99-be46-e54ed16c4c51
Any Way That You Want Me,1969-10-11,Evie Sands,62,62,62,9,f8fd37be-5dc0-4b81-98fb-df2c10fdf08a
Muddy Mississippi Line,1969-10-11,Bobby Goldsboro,63,63,53,9,88e1b387-c50e-40c8-9c9c-ec161853c520
Let A Woman Be A Woman - Let A Man Be A Man,1969-10-11,Dyke And The Blazers,64,65,64,4,9d853171-d1c6-431f-b039-13a27fec73a1
No One For Me To Turn To,1969-10-11,Spiral Starecase,65,60,52,7,5d3690c4-c0cf-4576-b2b1-44b91a546c20
Reuben James,1969-10-11,Kenny Rogers & The First Edition,66,89,66,3,75ad1605-a080-49c1-8aa0-0944059fa70f
"Baby, I'm For Real",1969-10-11,The Originals,67,79,67,3,dadd439c-21e2-4d1e-bba7-9c59e31a1af2
Doin' Our Thing,1969-10-11,Clarence Carter,68,72,68,3,0a3ca056-5e06-4fd0-a510-4ddfb9048ede
Chains Of Love,1969-10-11,Bobby Bland,69,71,69,5,321a3d09-fe69-48bc-88b5-eac7047bdb12
Get Off My Back Woman,1969-10-11,B.B. King,74,77,74,7,b7289428-9bd3-4e51-8d10-0820d8b393b6
Runnin' Blue,1969-10-11,The Doors,75,64,64,6,519ebd55-f0a7-4657-92bc-c29d25be842d
Life And Death In G & A,1969-10-11,Abaco Dream,76,74,74,6,24c6ee24-cd8a-4ff9-b352-ccd2af2a38fd
Groovy Grubworm,1969-10-11,Harlow Wilcox and the Oakies,77,,77,1,edb258a3-f3bd-4a44-bd26-441eb9dca2b2
Let A Man Come In And Do The Popcorn (Part One),1969-10-11,James Brown,78,,78,1,8c3ea269-ea78-4a20-b02f-c2ac49873703
San Francisco Is A Lonely Town,1969-10-11,Joe Simon,79,84,79,3,78b2b486-1c27-46ce-896f-e5f828439c31
The Ways To Love A Man,1969-10-11,Tammy Wynette,81,90,81,4,8ac48ae2-b4d9-4bf0-afa7-84ba67c4611c
Cherry Hill Park,1969-10-11,Billy Joe Royal,83,99,83,2,7f57fde4-a957-4c24-864b-4f29ffd8ef3a
Kool And The Gang,1969-10-11,Kool & The Gang,84,93,84,5,394fa67f-7c36-4d4d-a896-403e060f3d1a
I'll Bet You,1969-10-11,Funkadelic,85,94,85,2,6e91e97d-6768-4861-ab3f-756c26162f30
Silver Threads And Golden Needles,1969-10-11,The Cowsills,86,,86,1,7e1505fa-6dbe-429d-94ec-e6ae0c6f6a0e
The Colour Of My Love,1969-10-11,Jefferson,87,,84,4,1b06790c-f425-4854-9cf7-4bc04b133211
Julia,1969-10-11,Ramsey Lewis,94,96,94,3,3fc14411-26a3-479d-807d-060b6b448739
